

Potencia 1
1.	14628
2.	11522
3.	9338
4.	7053
5.	7133
6.	7023
7.	29466
8.	8546
9.	7875
10.	7354


Potencia 2
1.	101724
2.	154494
3.	118275
4.	122783
5.	129577
6.	126390
7.	91905
8.	78790
9.	76165
10.	108065


Potencia 3
1.	1426246
2.	1083393
3.	1333920
4.	1144068
5.	1123609
6.	1071430
7.	961260
8.	906195
9.	1243277
10.	1641014


Potencia 4
1.	12872930
2.	12439065
3.	14159275
4.	16858539
5.	19194526
6.	13318381
7.	14294137
8.	16436430
9.	14955054
10.	14390879


Potencia 5
1.	121952005
2.	106503988
3.	107436965
4.	113240861
5.	115773101
6.	142185522
7.	129091129
8.	124260243
9.	115169329
10.	123652029


Potencia 6
1.	1372345466
2.	1183368682
3.	1204075212
4.	1330681105
5.	1205374475
6.	1205446050
7.	1214373729
8.	1208680209
9.	1213735830
10.	1222461465


Potencia 7
1.	14045697650
2.	13676644643
3.	13807295194
4.	14335190829
5.	13090684287
6.	12936175428
7.	13445797993
8.	13125709772
9.	13037322755
10.	12863519777


Potencia 8
1.	138775975360
2.	138652478931
3.	138154255194
4.	138477392089
5.	138756691735
6.	140546690787
7.	138501748132
8.	139123984228
9.	138498841997
10.	138803814347


Potencia 9
1.	1479286629560
2.	1433681962630
3.	1424255178416
4.	1433550578417
5.	1433213665589
6.	1424632970475
7.	1432858381472
8.	1651933390226
9.	1699973442501
10.	1672019583010

Duracion total en milisegundos: 17398330
